Threads,Speadup,Efficiency
1,1,1
2,0.464716,0.232358
3,0.665734,0.221911
4,0.771056,0.192764
5,0.829302,0.16586
6,0.694561,0.11576
7,0.63069,0.0900985
8,0.390366,0.0487958
9,0.233861,0.0259845
10,0.371662,0.0371662
11,0.372295,0.033845
12,0.392325,0.0326938
13,0.35207,0.0270823
14,0.355062,0.0253616
15,0.294796,0.0196531
16,0.289328,0.018083
17,0.304183,0.0178931
18,0.290668,0.0161482
19,0.235696,0.012405
20,0.143115,0.00715577
